UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
DAY,1300060800,267,cadli,BTC-USD,0.89249,0.9,0.88,0.8949,1300067820,1300142820,0.89249,0.9,1300125180,0.88,1300085580,0.8949,38,5269.235,4676.61653707,5269.235,4676.61653707,5269.235,4676.61653707,5269.235,4676.61653707
DAY,1300147200,267,cadli,BTC-USD,0.8949,0.8949,0.8714621152,0.8714621152,1300151220,1300230900,0.8949,0.8949,1300151220,0.8714621152,1300230900,0.8714621152,30,2732.157,2405.41084962,2732.157,2405.41084962,2732.157,2405.41084962,2732.157,2405.41084962
DAY,1300233600,267,cadli,BTC-USD,0.8714621152,0.88,0.836072398190045,0.859995762835686,1300234620,1300319520,0.867523717253581,0.88,1300257360,0.836072398190045,1300314240,0.859995762835686,51,7929.615,6761.32006973,7929.615,6761.32006973,7929.615,6761.32006973,7929.615,6761.32006973
DAY,1300320000,267,cadli,BTC-USD,0.859995762835686,0.88,0.813533333333333,0.82542,1300320240,1300403880,0.845,0.88,1300331760,0.813533333333333,1300377540,0.82542,39,7159.779,6042.76763965,7159.779,6042.76763965,7159.779,6042.76763965,7159.779,6042.76763965
DAY,1300406400,267,cadli,BTC-USD,0.82542,0.85062,0.71,0.81585387602459,1300409040,1300484700,0.8499,0.85062,1300410420,0.71,1300415460,0.81585387602459,49,14226.223,10971.32359872,14226.223,10971.32359872,14226.223,10971.32359872,14226.223,10971.32359872
DAY,1300492800,267,cadli,BTC-USD,0.81585387602459,0.81585387602459,0.731343737927456,0.765,1300493760,1300577460,0.777411764705882,0.797,1300494900,0.731343737927456,1300514520,0.765,48,9875.038,7457.82756979,9875.038,7457.82756979,9875.038,7457.82756979,9875.038,7457.82756979
DAY,1300579200,267,cadli,BTC-USD,0.765,0.79,0.7403,0.746251737576952,1300580220,1300663680,0.782639911672572,0.79,1300627500,0.7403,1300589040,0.746251737576952,30,5815.319,4502.62403926,5815.319,4502.62403926,5815.319,4502.62403926,5815.319,4502.62403926
DAY,1300665600,267,cadli,BTC-USD,0.746251737576952,0.7697,0.740505381724582,0.75897,1300666560,1300750740,0.76145,0.7697,1300718280,0.740505381724582,1300742940,0.75897,53,3695.962,2780.4512132,3695.962,2780.4512132,3695.962,2780.4512132,3695.962,2780.4512132
DAY,1300752000,267,cadli,BTC-USD,0.75897,0.81,0.7405,0.80901,1300752180,1300836840,0.75897,0.81,1300836060,0.7405,1300759860,0.80901,83,12147.723,9499.23737253,12147.723,9499.23737253,12147.723,9499.23737253,12147.723,9499.23737253
DAY,1300838400,267,cadli,BTC-USD,0.80901,0.85,0.7832,0.84971,1300839480,1300921560,0.81,0.85,1300902420,0.7832,1300850820,0.84971,100,13262.257,11029.25030887,13262.257,11029.25030887,13262.257,11029.25030887,13262.257,11029.25030887
DAY,1300924800,267,cadli,BTC-USD,0.84971,0.899987741116751,0.826599337068161,0.86688,1300930620,1301010780,0.832,0.899987741116751,1300983060,0.826599337068161,1300974420,0.86688,89,14009.368,12259.77389937,14009.368,12259.77389937,14009.368,12259.77389937,14009.368,12259.77389937
DAY,1301011200,267,cadli,BTC-USD,0.86688,0.88999,0.861,0.88377,1301011260,1301092980,0.86688,0.88999,1301074920,0.861,1301034300,0.88377,55,4819.415,4225.52951098,4819.415,4225.52951098,4819.415,4225.52951098,4819.415,4225.52951098
DAY,1301097600,267,cadli,BTC-USD,0.88377,0.90172565,0.841,0.8552,1301100600,1301181060,0.883741763848718,0.90172565,1301143860,0.841,1301179320,0.8552,56,11756.42,10250.97673431,11756.42,10250.97673431,11756.42,10250.97673431,11756.42,10250.97673431
DAY,1301184000,267,cadli,BTC-USD,0.8552,0.87211,0.815732616412006,0.823076575486161,1301185020,1301268960,0.829,0.87211,1301215680,0.815732616412006,1301185500,0.823076575486161,57,5337.145,4439.0672079,5337.145,4439.0672079,5337.145,4439.0672079,5337.145,4439.0672079
DAY,1301270400,267,cadli,BTC-USD,0.823076575486161,0.849,0.7612,0.79898,1301271300,1301356740,0.82,0.849,1301322360,0.7612,1301332200,0.79898,64,12565.154,10141.70469831,12565.154,10141.70469831,12565.154,10141.70469831,12565.154,10141.70469831
DAY,1301356800,267,cadli,BTC-USD,0.79898,0.79966,0.7648,0.7925,1301357880,1301441460,0.7989,0.79966,1301414100,0.7648,1301425740,0.7925,92,4215.017,3312.30058905,4215.017,3312.30058905,4215.017,3312.30058905,4215.017,3312.30058905
DAY,1301443200,267,cadli,BTC-USD,0.7925,0.795,0.7679,0.7897,1301443860,1301528880,0.7925,0.795,1301452440,0.7679,1301515080,0.7897,46,3218.221,2532.13336351,3218.221,2532.13336351,3218.221,2532.13336351,3218.221,2532.13336351
DAY,1301529600,267,cadli,BTC-USD,0.7897,0.80098,0.768,0.78461,1301531220,1301615040,0.7897,0.80098,1301543040,0.768,1301537040,0.78461,72,6875.082,5429.15614952,6875.082,5429.15614952,6875.082,5429.15614952,6875.082,5429.15614952
DAY,1301616000,267,cadli,BTC-USD,0.78461,0.79697,0.77411,0.77411,1301617680,1301700420,0.776572337876192,0.79697,1301689920,0.77411,1301700420,0.77411,32,3186.767,2483.68752958,3186.767,2483.68752958,3186.767,2483.68752958,3186.767,2483.68752958
DAY,1301702400,267,cadli,BTC-USD,0.77411,0.798913397913562,0.77411,0.78199,1301703480,1301787900,0.775,0.798913397913562,1301782800,0.77414873828,1301704560,0.78199,47,2493.595,1965.23279665,2493.595,1965.23279665,2493.595,1965.23279665,2493.595,1965.23279665
DAY,1301788800,267,cadli,BTC-USD,0.78199,0.792108872727273,0.777,0.779,1301792400,1301874120,0.78199,0.792108872727273,1301845020,0.777,1301856780,0.779,38,3931.385,3074.75574179,3931.385,3074.75574179,3931.385,3074.75574179,3931.385,3074.75574179
DAY,1301875200,267,cadli,BTC-USD,0.779,0.779,0.567302358666667,0.68,1301877000,1301961120,0.777482932,0.77762772,1301882460,0.567302358666667,1301948460,0.68,101,31155.458,21652.68835204,31155.458,21652.68835204,31155.458,21652.68835204,31155.458,21652.68835204
DAY,1301961600,267,cadli,BTC-USD,0.68,0.747830714375,0.58,0.71,1301962020,1302047580,0.684416294088425,0.747830714375,1302043980,0.58,1302006180,0.71,122,9730.303,6522.71448864,9730.303,6522.71448864,9730.303,6522.71448864,9730.303,6522.71448864
DAY,1302048000,267,cadli,BTC-USD,0.71,0.75,0.6903,0.74,1302048900,1302132060,0.7477,0.75,1302129540,0.6903,1302112080,0.74,93,8703.946,6264.04033946,8703.946,6264.04033946,8703.946,6264.04033946,8703.946,6264.04033946
DAY,1302134400,267,cadli,BTC-USD,0.74,0.78490150304414,0.7212,0.7538,1302137760,1302218880,0.749006458022851,0.78490150304414,1302216960,0.7212,1302167640,0.7538,135,10832.992,8178.14150501,10832.992,8178.14150501,10832.992,8178.14150501,10832.992,8178.14150501
DAY,1302220800,267,cadli,BTC-USD,0.7538,0.799,0.731246891061947,0.749978098360656,1302222000,1302303600,0.753423563866822,0.799,1302239760,0.731246891061947,1302285780,0.749978098360656,79,18207.3,13854.66226135,18207.3,13854.66226135,18207.3,13854.66226135,18207.3,13854.66226135
DAY,1302307200,267,cadli,BTC-USD,0.749978098360656,0.7676,0.725,0.73334685,1302307800,1302390540,0.74999,0.7676,1302342720,0.725,1302375060,0.73334685,85,12119.397,8940.96103764,12119.397,8940.96103764,12119.397,8940.96103764,12119.397,8940.96103764
DAY,1302393600,267,cadli,BTC-USD,0.73334685,0.758587066,0.715213946953978,0.7369,1302398700,1302479280,0.750878046793399,0.758587066,1302440760,0.715213946953978,1302477960,0.7369,40,5348.98,3946.44002038,5348.98,3946.44002038,5348.98,3946.44002038,5348.98,3946.44002038
DAY,1302480000,267,cadli,BTC-USD,0.7369,0.798294739462138,0.7103,0.77,1302480180,1302566340,0.737073003157895,0.798294739462138,1302562560,0.7103,1302481860,0.77,90,14645.925,11255.96451706,14645.925,11255.96451706,14645.925,11255.96451706,14645.925,11255.96451706
DAY,1302566400,267,cadli,BTC-USD,0.77,0.899,0.77,0.86,1302566940,1302652620,0.7787,0.899,1302644340,0.7703,1302567600,0.86,243,48417.601,41333.11260509,48417.601,41333.11260509,48417.601,41333.11260509,48417.601,41333.11260509
DAY,1302652800,267,cadli,BTC-USD,0.86,1,0.86,0.9225,1302653400,1302738540,0.86,1,1302680220,0.86,1302659460,0.9225,197,43397.558,40467.73712876,43397.558,40467.73712876,43397.558,40467.73712876,43397.558,40467.73712876
DAY,1302739200,267,cadli,BTC-USD,0.9225,1,0.91,0.9975,1302739500,1302825540,0.939,1,1302825420,0.91,1302762540,0.9975,192,31111.877,29643.60890267,31111.877,29643.60890267,31111.877,29643.60890267,31111.877,29643.60890267
DAY,1302825600,267,cadli,BTC-USD,0.9975,1.08776025978853,0.930930770849694,0.9899095,1302825600,1302911460,1,1.08776025978853,1302860940,0.930930770849694,1302843540,0.9899095,287,50304.611,50488.93920613,50304.611,50488.93920613,50304.611,50488.93920613,50304.611,50488.93920613
DAY,1302912000,267,cadli,BTC-USD,0.9899095,1.095,0.95414,1.0499,1302912060,1302997260,0.98398,1.095,1302973320,0.95414,1302918960,1.0499,278,28869.299,30097.17666549,28869.299,30097.17666549,28869.299,30097.17666549,28869.299,30097.17666549
DAY,1302998400,267,cadli,BTC-USD,1.0499,1.1389,1.02555,1.13344696008952,1302998520,1303084740,1.048,1.1389,1303084500,1.02555,1303015920,1.13344696008952,197,24225.699,26085.24948949,24225.699,26085.24948949,24225.699,26085.24948949,24225.699,26085.24948949
DAY,1303084800,267,cadli,BTC-USD,1.13344696008952,1.1999,1.1105,1.16199,1303084800,1303171140,1.13887336739418,1.1999,1303090380,1.1105,1303095720,1.16199,266,27478.69,31552.54792812,27478.69,31552.54792812,27478.69,31552.54792812,27478.69,31552.54792812
DAY,1303171200,267,cadli,BTC-USD,1.16199,1.1979,1.1436975318946,1.19759279682067,1303171320,1303257360,1.1618,1.1979,1303255200,1.1436975318946,1303176240,1.19759279682067,209,12556.732,14782.06274773,12556.732,14782.06274773,12556.732,14782.06274773,12556.732,14782.06274773
DAY,1303257600,267,cadli,BTC-USD,1.19759279682067,1.1979,1.13,1.1421,1303258140,1303343400,1.181,1.1979,1303267440,1.13,1303292580,1.1421,224,21344.953,24691.86369286,21344.953,24691.86369286,21344.953,24691.86369286,21344.953,24691.86369286
DAY,1303344000,267,cadli,BTC-USD,1.1421,1.21,1.14,1.21,1303346460,1303430340,1.14209,1.21,1303430340,1.14,1303374840,1.21,216,39295.694,46345.34981965,39295.694,46345.34981965,39295.694,46345.34981965,39295.694,46345.34981965
DAY,1303430400,267,cadli,BTC-USD,1.21,1.41,1.18953361792956,1.40901,1303430400,1303516620,1.21,1.41,1303516260,1.18953361792956,1303437120,1.40901,323,39415.39,50929.92235922,39415.39,50929.92235922,39415.39,50929.92235922,39415.39,50929.92235922
DAY,1303516800,267,cadli,BTC-USD,1.40901,1.95,1.32039846969697,1.69331223521077,1303516920,1303602960,1.3911,1.95,1303600980,1.32039846969697,1303536660,1.69331223521077,362,66620.358,103242.83861784,66620.358,103242.83861784,66620.358,103242.83861784,66620.358,103242.83861784
DAY,1303603200,267,cadli,BTC-USD,1.69331223521077,1.95,1.6,1.63075833005894,1303603320,1303688520,1.7999,1.95,1303604520,1.6,1303686300,1.63075833005894,262,21541.692,36076.0063024,21541.692,36076.0063024,21541.692,36076.0063024,21541.692,36076.0063024
DAY,1303689600,267,cadli,BTC-USD,1.63075833005894,1.70006311497655,1.5211,1.559,1303689780,1303774440,1.68354728770236,1.70006311497655,1303698300,1.5211,1303763340,1.559,286,13471.602,21226.88972805,13471.602,21226.88972805,13471.602,21226.88972805,13471.602,21226.88972805
DAY,1303776000,267,cadli,BTC-USD,1.559,1.79480592194128,1.53069379268783,1.79480592194128,1303776240,1303862160,1.5804966507177,1.79480592194128,1303862160,1.53069379268783,1303798620,1.79480592194128,336,24054.311,40211.16690399,24054.311,40211.16690399,24054.311,40211.16690399,24054.311,40211.16690399
DAY,1303862400,267,cadli,BTC-USD,1.79480592194128,1.9499883979843,1.72,1.9,1303862520,1303948260,1.781,1.9499883979843,1303913520,1.72,1303867860,1.9,413,33055.256,62403.35440753,33055.256,62403.35440753,33055.256,62403.35440753,33055.256,62403.35440753
DAY,1303948800,267,cadli,BTC-USD,1.9,2.64832375478927,1.66,2.21059,1303950480,1304034900,1.8890242404674,2.64832375478927,1304009160,1.66,1303964520,2.21059,620,100238.232,203392.45848419,100238.232,203392.45848419,100238.232,203392.45848419,100238.232,203392.45848419
